contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
VIX250521P00010000,2025-04-23 13:36:01+00:00,10.0,0.01,0.0,0.02,0.0,0.0,1.0,725,1.40625296875,False,REGULAR,USD
VIX250521P00010500,2025-03-04 14:40:10+00:00,10.5,0.02,0.0,0.0,0.0,0.0,15.0,662,0.500005,False,REGULAR,USD
VIX250521P00011000,2025-04-09 19:45:36+00:00,11.0,0.01,0.0,0.02,0.0,0.0,290.0,710,1.2812535937499998,False,REGULAR,USD
VIX250521P00011500,2025-04-25 13:44:16+00:00,11.5,0.01,0.0,0.01,0.0,0.0,5.0,278,1.125004375,False,REGULAR,USD
VIX250521P00012000,2025-04-24 13:50:36+00:00,12.0,0.01,0.0,0.02,0.0,0.0,5.0,11076,1.140629296875,False,REGULAR,USD
VIX250521P00012500,2025-04-09 13:55:21+00:00,12.5,0.08,0.0,0.02,0.0,0.0,1.0,490,1.0781296093750001,False,REGULAR,USD
VIX250521P00013000,2025-04-25 14:28:16+00:00,13.0,0.01,0.0,0.02,0.0,0.0,3.0,13184,1.0312548437500002,False,REGULAR,USD
VIX250521P00013500,2025-04-22 14:01:58+00:00,13.5,0.01,0.0,0.02,0.0,0.0,4.0,12830,0.9687503125,False,REGULAR,USD
VIX250521P00014000,2025-04-28 17:11:24+00:00,14.0,0.02,0.0,0.02,0.0,0.0,2.0,37884,0.9062509375,False,REGULAR,USD
VIX250521P00014500,2025-04-28 18:57:45+00:00,14.5,0.01,0.0,0.02,0.0,0.0,6.0,31237,0.85937640625,False,REGULAR,USD
VIX250521P00015000,2025-04-29 15:50:51+00:00,15.0,0.01,0.01,0.02,-0.01,-33.333336,6612.0,41907,0.8437515624999999,False,REGULAR,USD
VIX250521P00015500,2025-04-28 16:52:41+00:00,15.5,0.03,0.01,0.02,0.0,0.0,50.0,8566,0.79687703125,False,REGULAR,USD
VIX250521P00016000,2025-04-29 15:50:26+00:00,16.0,0.02,0.01,0.02,0.0,0.0,364.0,135134,0.7500025,False,REGULAR,USD
VIX250521P00016500,2025-04-29 15:35:05+00:00,16.5,0.03,0.01,0.03,-0.01,-25.0,1123.0,15317,0.73437765625,False,REGULAR,USD
VIX250521P00017000,2025-04-29 15:01:30+00:00,17.0,0.05,0.03,0.06,0.0,0.0,6030.0,206620,0.773439765625,False,REGULAR,USD
VIX250521P00017500,2025-04-29 15:31:53+00:00,17.5,0.08,0.06,0.09,0.009999998,14.285711,2.0,18607,0.789064609375,False,REGULAR,USD
VIX250521P00018000,2025-04-29 15:21:33+00:00,18.0,0.11,0.1,0.13,-0.009999998,-8.333331,2106.0,178987,0.8027363476562499,False,REGULAR,USD
VIX250521P00018500,2025-04-28 18:57:45+00:00,18.5,0.15,0.14,0.18,0.0,0.0,2.0,46584,0.804689453125,False,REGULAR,USD
VIX250521P00019000,2025-04-29 15:56:55+00:00,19.0,0.24,0.21,0.24,0.030000001,14.285715,21531.0,106473,0.81445498046875,False,REGULAR,USD
VIX250521P00019500,2025-04-29 15:27:47+00:00,19.5,0.3,0.3,0.33,-0.030000001,-9.090909,3.0,68720,0.8320329296874999,False,REGULAR,USD
VIX250521P00020000,2025-04-29 15:54:54+00:00,20.0,0.43,0.42,0.45,0.0,0.0,2920.0,197909,0.8544936425781251,False,REGULAR,USD
VIX250521P00020500,2025-04-29 14:35:18+00:00,20.5,0.54,0.56,0.59,0.02000004,3.8461618,7.0,15034,0.87500125,False,REGULAR,USD
VIX250521P00021000,2025-04-29 15:17:09+00:00,21.0,0.75,0.74,0.79,0.01999998,2.7397234,5832.0,104779,0.9082040429687499,False,REGULAR,USD
VIX250521P00021500,2025-04-29 15:50:53+00:00,21.5,1.02,0.97,1.02,0.049999952,5.154634,11.0,6653,0.948242705078125,False,REGULAR,USD
VIX250521P00022000,2025-04-29 15:45:05+00:00,22.0,1.25,1.22,1.27,0.0,0.0,5695.0,86295,0.98437515625,False,REGULAR,USD
VIX250521P00022500,2025-04-29 14:16:41+00:00,22.5,1.46,1.49,1.53,0.00999999,0.68965447,8.0,23719,1.0146533642578124,False,REGULAR,USD
VIX250521P00023000,2025-04-29 15:48:07+00:00,23.0,1.86,1.79,1.84,0.060000062,3.3333368,286.0,60798,1.0537156689453124,False,REGULAR,USD
VIX250521P00023500,2025-04-29 15:48:07+00:00,23.5,2.21,2.14,2.18,0.10000014,4.7393436,1069.0,29301,1.0996138769531252,False,REGULAR,USD
VIX250521P00024000,2025-04-29 15:54:54+00:00,24.0,2.54,2.48,2.53,0.029999971,1.195218,7286.0,43456,1.1367230664062502,False,REGULAR,USD
VIX250521P00024500,2025-04-29 15:42:35+00:00,24.5,2.89,2.83,2.87,0.00999999,0.34722188,5.0,18573,1.1679729101562502,False,REGULAR,USD
VIX250521P00025000,2025-04-29 15:53:44+00:00,25.0,3.3,3.25,3.3,0.099999905,3.124997,3242.0,51233,1.224613251953125,True,REGULAR,USD
VIX250521P00026000,2025-04-29 15:13:05+00:00,26.0,3.99,4.05,4.15,-0.049999952,-1.2376226,63.0,41932,1.3115268798828121,True,REGULAR,USD
VIX250521P00027000,2025-04-29 15:41:07+00:00,27.0,4.9,4.85,4.9,0.01999998,0.40983567,9.0,20135,1.3603547607421875,True,REGULAR,USD
VIX250521P00027500,2025-04-29 10:44:46+00:00,27.5,5.35,5.3,5.4,0.19999981,3.8834913,3.0,7990,1.4150419873046878,True,REGULAR,USD
VIX250521P00028000,2025-04-29 14:45:21+00:00,28.0,5.6,5.7,5.75,0.38999987,7.4856014,1510.0,28941,1.4257841210937499,True,REGULAR,USD
VIX250521P00029000,2025-04-29 15:33:15+00:00,29.0,6.55,6.6,6.7,0.0800004,1.2364823,1510.0,7302,1.509768076171875,True,REGULAR,USD
VIX250521P00030000,2025-04-29 14:14:19+00:00,30.0,7.45,7.45,7.55,0.049999714,0.6756718,17.0,35359,1.5527366113281247,True,REGULAR,USD
VIX250521P00031000,2025-04-29 13:09:04+00:00,31.0,8.1,8.35,8.45,-0.5,-5.8139534,6.0,14157,1.607423837890625,True,REGULAR,USD
VIX250521P00032000,2025-04-29 13:04:12+00:00,32.0,8.95,9.25,9.35,-0.3000002,-3.2432454,1.0,7879,1.654298603515625,True,REGULAR,USD
VIX250521P00033000,2025-04-29 15:11:48+00:00,33.0,10.1,10.2,10.3,0.15000057,1.5075434,113.0,981,1.7177748486328124,True,REGULAR,USD
VIX250521P00034000,2025-04-28 14:40:28+00:00,34.0,11.35,11.05,11.2,0.0,0.0,24.0,4410,1.7412122314453122,True,REGULAR,USD
VIX250521P00035000,2025-04-29 15:49:59+00:00,35.0,12.15,12.0,12.15,0.5999994,5.1948004,1.0,2637,1.79296978515625,True,REGULAR,USD
VIX250521P00036000,2025-04-28 15:44:51+00:00,36.0,12.85,12.95,13.05,0.10000038,0.7843167,1.0,2199,1.8291024169921872,True,REGULAR,USD
VIX250521P00037000,2025-04-28 17:59:28+00:00,37.0,13.5,13.9,14.0,0.0,0.0,7.0,246,1.873047509765625,True,REGULAR,USD
VIX250521P00038000,2025-04-28 13:49:07+00:00,38.0,15.25,14.9,15.0,0.0,0.0,2.0,192,1.9375003125,True,REGULAR,USD
VIX250521P00039000,2025-04-28 16:27:58+00:00,39.0,15.31,15.85,15.95,0.0,0.0,1.0,141,1.9746095019531251,True,REGULAR,USD
VIX250521P00040000,2025-04-29 15:48:14+00:00,40.0,16.85,16.75,16.85,0.70000076,4.33437,8.0,3994,1.9814454052734376,True,REGULAR,USD
VIX250521P00042500,2025-04-28 15:09:39+00:00,42.5,19.2,19.15,19.3,0.0,0.0,5.0,275,2.0791063647460932,True,REGULAR,USD
VIX250521P00045000,2025-04-28 05:38:26+00:00,45.0,21.4,21.6,21.75,0.0,0.0,5.0,545,2.175785810546875,True,REGULAR,USD
VIX250521P00047500,2025-04-28 14:16:16+00:00,47.5,24.4,24.0,24.15,0.0,0.0,1.0,333,2.231449733886718,True,REGULAR,USD
VIX250521P00050000,2025-04-28 17:45:18+00:00,50.0,25.9,26.45,26.6,0.0,0.0,20.0,257,2.306644858398437,True,REGULAR,USD
VIX250521P00055000,2025-04-28 14:07:46+00:00,55.0,31.8,31.45,31.55,0.0,0.0,3.0,41,2.480472548828125,True,REGULAR,USD
VIX250521P00060000,2025-04-23 15:29:35+00:00,60.0,34.5,36.4,36.5,0.0,0.0,3.0,137,2.6132847167968754,True,REGULAR,USD
VIX250521P00065000,2025-04-17 13:35:33+00:00,65.0,38.45,41.35,41.5,0.0,0.0,1.0,58,2.746096884765625,True,REGULAR,USD
VIX250521P00070000,2025-04-15 18:32:33+00:00,70.0,44.6,46.3,46.4,0.0,0.0,3.0,8,2.824221689453125,True,REGULAR,USD
VIX250521P00075000,2025-04-24 13:49:15+00:00,75.0,49.85,51.25,51.35,0.0,0.0,9.0,106,2.906252734375,True,REGULAR,USD
VIX250521P00080000,2025-04-22 14:27:33+00:00,80.0,53.05,56.25,56.35,0.0,0.0,2.0,152,3.0185571411132814,True,REGULAR,USD
VIX250521P00085000,2025-04-14 15:13:42+00:00,85.0,58.3,61.15,61.3,0.0,0.0,1.0,2,3.058596103515625,True,REGULAR,USD
VIX250521P00090000,2025-04-14 14:29:18+00:00,90.0,63.36,66.2,66.35,0.0,0.0,9.0,8,3.1972676318359374,True,REGULAR,USD
VIX250521P00095000,2025-04-21 19:00:23+00:00,95.0,66.05,71.1,71.2,0.0,0.0,2.0,2,3.1718770703125,True,REGULAR,USD
VIX250521P00100000,2025-04-14 14:21:40+00:00,100.0,73.03,76.15,76.25,0.0,0.0,6.0,4,3.302736118164062,True,REGULAR,USD
VIX250521P00120000,2025-04-14 14:10:02+00:00,120.0,92.6,96.05,96.45,0.0,0.0,1.0,2,3.6386727783203128,True,REGULAR,USD
VIX250521P00130000,2025-04-16 19:59:00+00:00,130.0,102.15,106.1,106.2,0.0,0.0,,379,3.6640633398437505,True,REGULAR,USD
VIX250521P00150000,2025-04-10 19:24:54+00:00,150.0,119.9,126.0,126.15,0.0,0.0,1.0,8,3.798828627929688,True,REGULAR,USD
VIX250521P00180000,2025-04-08 18:49:07+00:00,180.0,149.11,155.85,156.05,0.0,0.0,1.0,15,3.908203354492188,True,REGULAR,USD
VIX250521P00200000,2025-04-28 20:08:47+00:00,200.0,175.72,175.8,176.0,0.0,0.0,12.0,124,3.9843750390625,True,REGULAR,USD
